RT_Temp,Nu_Temp
8.79,697.81
8.6,696.14
9.16,697.28
9.1,696.11
9.25,694.7
8.2,695.89
8.67,700.68
8.2,699.8
8.67,700.89
9.63,699.13
9.32,698.02
8.3,697.42
9.02,698.07
8.91,697.6
8.8,699.17
8.7,699.49
9.39,700.02
9.21,699.93
8.67,699.96
9.0,699.81
8.62,698.32
8.35,699.6
8.7,700.74
8.5,702.39
8.4,702.38
8.3,702.77
8.1,702.0
8.79,703.39
8.19,703.7
8.3,702.72
8.38,703.15
8.73,702.52
8.08,698.95
8.18,700.54
7.73,701.7
7.69,701.95
8.03,702.21
7.35,701.56
7.6,700.76
8.51,702.79
8.9,704.14
8.6,701.32
9.0,697.2
8.6,698.03
8.5,697.54
8.9,697.47
8.5,698.66
8.18,701.09
7.59,700.55
7.4,699.91
7.5,697.11
7.9,697.16
8.0,699.09
7.9,696.95
7.9,697.95
8.48,698.89
8.35,698.66
8.13,699.96
8.07,699.55
7.8,699.71
7.4,700.62
7.9,700.52
7.56,700.6
7.66,700.48
8.09,700.43
8.18,700.16
8.04,700.28
8.4,699.91
8.11,699.11
7.2,698.77
7.8,698.6
7.54,695.53
8.05,696.5
7.82,696.37
7.76,695.96
7.29,696.94
7.5,694.9
8.07,694.08
8.0,694.56
7.1,693.31
8.0,693.96
7.9,692.57
7.5,698.91
7.6,697.04
8.21,695.77
7.56,695.03
7.62,695.8
8.75,694.63
7.88,697.37
7.8,700.25
7.6,701.14
7.4,700.47
7.3,702.02
7.4,701.56
7.2,700.46
7.2,699.58
7.1,700.11
7.5,699.44
7.7,699.25
7.5,698.46
7.1,699.27
7.6,697.11
7.8,699.05
7.8,698.54
7.53,699.07
7.3,699.07
8.0,698.52
7.9,697.94
7.7,698.7
7.7,697.86
7.4,698.0
7.5,698.38
7.4,697.78
7.4,696.67
7.9,696.3
7.9,696.59
7.4,695.01
7.6,695.73
7.1,696.49
7.3,700.03
7.1,700.39
7.5,700.22
8.0,699.81
7.5,699.73
7.8,698.28
7.4,698.8
7.8,699.47
7.6,700.07
7.1,700.54
7.9,699.93
7.6,699.82
7.3,700.93
7.4,701.29
7.3,700.8
7.2,701.08
7.6,700.43
7.3,699.85
7.6,701.26
7.4,701.37
7.7,700.56
7.1,701.67
7.6,701.79
7.9,702.41
7.3,703.34
7.4,702.42
7.1,701.83
7.2,705.17
7.1,704.77
7.4,704.4
7.57,704.92
7.2,704.11
7.8,703.14
7.7,702.63
8.0,702.05
7.6,701.34
8.0,702.41
7.8,701.63
7.5,703.43
7.1,703.66
7.5,705.69
7.7,705.11
7.2,703.1
7.9,704.62
7.5,696.28
7.1,696.36
7.7,696.76
7.8,696.67
8.0,692.87
7.7,692.58
7.5,691.36
7.2,691.06
7.7,691.68
7.5,690.92
8.0,690.66
8.0,690.86
7.2,692.78
7.5,695.16
7.7,696.2
7.29,696.57
7.5,698.4
8.0,698.42
7.5,698.55
7.1,696.79
8.0,697.95
7.6,698.99
7.9,699.59
7.3,699.85
7.1,699.79
8.0,701.06
7.8,700.84
7.6,702.5
7.7,701.01
7.9,701.51
7.3,701.45
7.5,699.75
8.0,699.21
7.4,700.21
7.5,698.77
7.8,700.07
7.5,700.67
7.6,700.0
7.3,701.35
8.0,701.79
7.9,699.2
7.3,699.62
7.6,700.77
7.2,700.29
7.1,700.41
7.6,701.51
7.3,701.8
7.7,702.01
7.6,701.98
8.0,701.69
7.2,701.42
